mean_correlation,median_correlation,market_volatility,cross_sectional_dispersion,pca_first_component_ratio,mean_pairwise_distance,mean_correlation_distance,window_id,window_start,window_end,cluster_count,silhouette_score,adjacent_window_ari,sector_cluster_ari,sector_cluster_nmi,pca_stock_projection_pc1_ratio
0.42359897970972565,0.4331585573449807,0.20581548056531027,0.015559843222416764,0.453262611124547,0.924390918639926,1.0622143997308127,33,2022-10-13,2023-02-22,6,0.08321305221241708,1.0,0.1015825760219192,0.43420575448422183,0.16466051741284682
0.40316025593668686,0.4072424536131359,0.1904849645519875,0.015043959199963514,0.4358122586097149,0.9394813333145735,1.08090993969312,34,2022-10-27,2023-03-08,6,0.10378783241536359,0.6249478407917951,0.16989918901022533,0.4945030188463428,0.16355620487790207
0.3901641319733016,0.3927598018912275,0.1870553276012371,0.01487509927628617,0.4225095820286997,0.9522401547500049,1.092815615807838,35,2022-11-10,2023-03-22,6,0.10702000982074243,0.603135307388187,0.11676561172374515,0.4409724258756868,0.16957646606136337
0.36311488276284665,0.36043535061195425,0.16991089279818716,0.014525555500990724,0.39103337597372,0.9721038902508851,1.118536288632592,36,2022-11-25,2023-04-05,6,0.10521974087172958,0.34956222227577677,0.21830458040409317,0.5111870930874169,0.1701131282118517
0.327243886167975,0.3257334004347363,0.15587070858598367,0.01440539269095839,0.3568801295646404,1.0020529817130843,1.1502264743977633,37,2022-12-09,2023-04-20,6,0.09487621343350361,0.8135462792657947,0.21110516224149892,0.5042063685714127,0.1666817271781232
0.3057851920371977,0.30688054381416446,0.14941413831480843,0.01438635830649937,0.33686483303226095,1.0183031106544136,1.1689706145188694,38,2022-12-23,2023-05-04,6,0.10137531353921961,0.6587139046969599,0.2478766139768506,0.5534551848518291,0.16423482717767507
0.2925104937932467,0.29773416424476384,0.1434298116532014,0.014202020785377469,0.32376073436870423,1.0278055169326816,1.1804045888916612,39,2023-01-10,2023-05-18,6,0.08020000685747655,0.9023456827057391,0.27746983025957517,0.5746098445296144,0.16863381246468892
0.2679558972997596,0.272264222397028,0.13863846068600494,0.014425873534796366,0.30148456165864984,1.0465738154047666,1.2007251256270406,40,2023-01-25,2023-06-02,6,0.08074783528183521,0.5307829144641611,0.21177469144773942,0.49046077943072297,0.16427698516027733
0.2681641754912945,0.265699937694486,0.13351407321754355,0.014036458439455708,0.2998532716321518,1.0443046531313174,1.2005531078669593,41,2023-02-08,2023-06-16,6,0.11473943402817524,0.7227390508104738,0.2511372144380619,0.5548563399051932,0.15385326757520107
0.2521377781811481,0.24329341701887275,0.12632234191722608,0.013912624369083805,0.2833597928186797,1.05626109022811,1.2137335568808139,42,2023-02-23,2023-07-03,6,0.12413807750357489,0.8400465693723953,0.27148447590019115,0.5483015013752427,0.14581851165247633
0.23490529266937774,0.2230270926539456,0.12251370929280296,0.014041517442647946,0.2686854410666272,1.0678669290893106,1.227462033575649,43,2023-03-09,2023-07-18,6,0.1068369436476381,0.8312616716235043,0.24428724970209584,0.5050535100906355,0.1490102415070992
0.18431785049964328,0.17929744822410162,0.1052706468316421,0.01394924475397555,0.21803439907721575,1.101917980124935,1.2686033503064964,44,2023-03-23,2023-08-01,6,0.10834664813581334,0.7438740233106859,0.2682868836607689,0.5511176460048172,0.15418834066702397
0.19180808547931483,0.1806035848614376,0.10803170220166716,0.013924729688217808,0.22588527671637237,1.0935559413327867,1.2629439525741815,45,2023-04-06,2023-08-15,6,0.11354799267095413,0.8311527292896995,0.28617640057860266,0.5473558417764377,0.15308719962844172
0.21360746945887132,0.2059070411565771,0.11486031074182204,0.013895013860943403,0.2489306935289848,1.0817368834606949,1.2450483119120532,46,2023-04-21,2023-08-29,6,0.12376950616658855,0.9340615719368403,0.2869703946772059,0.5631280045334912,0.16231752280536932
0.18335197053582505,0.17513688676093084,0.10441832222715268,0.013733309510473813,0.21804440753990834,1.099911808484648,1.2690741339135259,47,2023-05-05,2023-09-13,6,0.12451663307778683,1.0,0.2869703946772059,0.5631280045334911,0.16358505515087415
0.20117091686515506,0.19864151693166912,0.10844391524159774,0.013517764512592087,0.23548999846404456,1.0872890694109987,1.2554502831648295,48,2023-05-19,2023-09-27,6,0.11458369366238606,0.9750072442770211,0.2762452220806542,0.5469962557553574,0.15654997352096203
