ticker,cluster,pca1,pca2
FTV,0,1.25998220796915,-0.6225561647553027
GD,0,0.9431675033865183,-0.7705379553011797
GE,5,-4.286868964290003,-1.2195005435035928
GGP,6,-1.6611021646619952,0.30832291239171994
GILD,2,0.34025280634548466,0.41024627465221
GIS,6,-0.8223610026074364,-0.8946042590954165
GLW,1,0.14499599795741197,-0.5371164024455729
GM,2,0.7066458685851165,0.3996939359694119
GOOG,0,1.1820987839688712,-0.16802594139583396
GOOGL,0,1.075936345063142,-0.2505619655861355
GPC,2,-0.010059452969865199,0.12508247789161023
GPN,0,1.3160606194114068,-0.19030690828179464
GPS,4,0.6976911093627319,2.425341950595568
GRMN,0,1.3330942268195058,0.17174510811537902
GS,2,0.13745382592609254,-0.09202496095586282
GT,2,-0.4903092928597148,0.10982123725775192
GWW,3,-1.038506186603349,3.169759629938669
HAL,3,-1.2557471090719694,0.9936233770655709
HAS,6,-0.7891022252556579,0.1274381524981348
HBAN,2,0.45976791926076244,0.3828690040675425
HBI,6,-1.215223822048893,-0.0336708364533649
HCA,2,0.6129302762943414,0.7604340350466503
HCN,6,-1.5778422673940347,-1.6943254310260187
HCP,6,-2.113455865446008,-1.506238549311012
HD,7,1.6845625534809168,0.17554749627622238
HES,3,-1.8554710104074443,0.7408479314902283
HIG,0,0.7732991814538784,-1.0921312544960315
HII,2,0.2835786239150637,0.07894114295398083
HLT,7,2.0555661889008556,0.6339085446822806
HOG,6,-1.627622848337879,0.055506568541947965
HOLX,6,-0.46554583031581437,-0.22656316380975533
HON,0,1.351147768344379,-0.8991536207507791
HP,3,-1.1123428497111894,2.595123586274435
HPE,5,-4.414929183483164,1.426151103798587
HPQ,0,0.9851391151050918,0.15267367868982656
HRB,6,-1.375945629447794,0.33718648495125836
HRL,6,-0.8123647257926341,-0.8377491477918366
HRS,7,2.2449957662282927,0.3646603694823273
HSIC,6,-1.7794956207263484,-0.7328743318639811
HST,0,0.40746928618282974,-0.4470504993086749
HSY,1,-0.28463410413413825,-1.455672004330033
